	pident
319	48.7
320	48.7
321	48.7
322	48.8
323	48.9
324	48.9
325	49.0
326	49.1
327	49.1
328	49.1
329	49.1
330	49.3
331	49.4
332	49.4
333	49.5
334	49.5
335	49.5
336	49.5
337	49.7
338	49.7
339	49.7
340	49.8
341	49.8
342	49.8
343	49.8
344	50.0
345	50.0
346	50.0
347	50.0
348	50.0
349	50.0
350	50.0
351	50.0
352	50.0
353	50.0
354	50.1
355	50.2
356	50.3
357	50.4
358	50.4
359	50.4
360	50.4
361	50.4
362	50.4
363	50.4
364	50.4
365	50.4
366	50.4
367	50.4
368	50.4
369	50.4
370	50.4
371	50.5
372	50.5
373	50.5
374	50.6
375	50.6
376	50.6
377	50.6
378	50.6
379	50.6
380	50.7
381	50.7
382	50.7
383	50.7
384	50.9
385	51.1
386	51.1
387	51.1
388	51.2
389	51.3
390	51.3
391	51.4
392	51.4
393	51.4
394	51.5
395	51.5
396	51.5
397	51.6
398	51.6
399	51.6
400	51.6
401	51.6
402	51.7
403	51.7
404	51.9
405	51.9
406	51.9
407	52.1
408	52.2
409	52.3
410	52.3
411	52.4
412	52.5
413	52.5
414	52.5
415	52.5
416	52.5
417	52.6
418	52.6
419	52.6
420	52.7
421	52.7
422	52.8
423	52.8
424	52.8
425	53.1
426	53.1
427	53.2
428	53.4
429	53.5
430	53.5
431	53.5
432	53.5
433	53.6
434	53.6
435	53.7
436	53.7
437	53.8
438	53.8
439	53.8
440	53.9
441	54.0
442	54.0
443	54.1
444	54.2
445	54.3
446	54.3
447	54.3
448	54.3
449	54.3
450	54.5
451	54.6
452	54.6
453	54.6
454	54.6
455	54.7
456	54.7
457	54.9
458	54.9
459	55.0
460	55.0
461	55.2
462	55.2
463	55.3
464	55.3
465	55.4
466	55.4
467	55.4
468	55.4
469	55.4
470	55.5
471	55.5
472	55.6
473	55.7
474	55.8
475	55.9
476	55.9
477	55.9
478	55.9
479	55.9
480	56.0
481	56.1
482	56.2
483	56.2
484	56.2
485	56.2
486	56.2
487	56.3
488	56.3
489	56.3
490	56.4
491	56.4
492	56.4
493	56.5
494	56.5
495	56.5
496	56.6
497	56.6
498	56.7
499	56.8
500	56.8
501	56.8
502	56.8
503	56.8
504	56.9
505	57.0
506	57.0
507	57.0
508	57.1
509	57.1
510	57.1
511	57.2
512	57.2
513	57.2
514	57.3
515	57.3
516	57.4
517	57.5
518	57.6
519	57.6
520	57.6
521	57.6
522	57.7
523	57.7
524	57.8
525	57.8
526	57.9
527	58.0
528	58.0
529	58.0
530	58.0
531	58.0
532	58.1
533	58.1
534	58.1
535	58.2
536	58.2
537	58.2
538	58.2
539	58.2
540	58.2
541	58.2
542	58.3
543	58.3
544	58.4
545	58.4
546	58.4
547	58.4
548	58.5
549	58.5
550	58.6
551	58.6
552	58.8
553	58.9
554	58.9
555	59.0
556	59.1
557	59.2
558	59.3
559	59.4
560	59.4
561	59.4
562	59.4
563	59.6
564	59.6
565	59.6
566	59.6
567	59.7
568	59.8
569	59.9
570	60.0
571	60.0
572	60.0
573	60.0
574	60.1
575	60.1
576	60.1
577	60.3
578	60.3
579	60.3
580	60.3
581	60.3
582	60.4
583	60.4
584	60.4
585	60.5
586	60.6
587	60.6
588	60.6
589	60.7
590	60.8
591	60.8
592	60.9
593	61.0
594	61.0
595	61.0
596	61.0
597	61.1
598	61.1
599	61.2
600	61.4
601	61.5
602	61.5
603	61.7
604	61.7
605	61.7
606	61.7
607	61.8
608	61.8
609	61.9
610	61.9
611	62.0
612	62.0
613	62.0
614	62.0
615	62.1
616	62.2
617	62.3
618	62.3
619	62.4
620	62.4
621	62.4
622	62.5
623	62.6
624	62.7
625	62.7
626	62.8
627	62.8
628	62.9
629	62.9
630	62.9
631	63.0
632	63.1
633	63.1
634	63.1
635	63.1
636	63.2
637	63.2
638	63.2
639	63.3
640	63.3
641	63.4
642	63.5
643	63.5
644	63.5
645	63.5
646	63.6
647	63.6
648	63.6
649	63.7
650	63.7
651	63.8
652	63.8
653	63.8
654	63.9
655	63.9
656	63.9
657	63.9
658	63.9
659	64.0
660	64.0
661	64.2
662	64.4
663	64.4
664	64.4
665	64.4
666	64.5
667	64.8
668	64.8
669	64.8
670	64.9
671	64.9
672	65.0
673	65.1
674	65.3
675	65.3
676	65.3
677	65.3
678	65.4
679	65.5
680	65.5
681	65.6
682	65.6
683	65.7
684	65.8
685	65.8
686	65.8
687	65.8
688	65.8
689	65.9
690	65.9
691	66.0
692	66.1
693	66.1
694	66.1
695	66.2
696	66.2
697	66.2
698	66.3
699	66.3
700	66.3
701	66.4
702	66.4
703	66.4
704	66.5
705	66.6
706	66.7
707	66.7
708	66.7
709	66.7
710	66.7
711	66.7
712	66.7
713	66.8
714	66.9
715	66.9
716	67.0
717	67.0
718	67.0
719	67.0
720	67.0
721	67.0
722	67.1
723	67.1
724	67.1
725	67.2
726	67.2
727	67.2
728	67.3
729	67.3
730	67.3
731	67.4
732	67.4
733	67.4
734	67.4
735	67.4
736	67.5
737	67.6
738	67.6
739	67.6
740	67.7
741	67.7
742	67.7
743	67.7
744	67.8
745	67.8
746	67.9
747	67.9
748	67.9
749	67.9
750	68.0
751	68.0
752	68.0
753	68.0
754	68.0
755	68.1
756	68.1
757	68.1
758	68.1
759	68.1
760	68.2
761	68.3
762	68.3
763	68.3
764	68.4
765	68.4
766	68.4
767	68.4
768	68.4
769	68.5
770	68.5
771	68.5
772	68.5
773	68.5
774	68.6
775	68.6
776	68.6
777	68.6
778	68.6
779	68.6
780	68.6
781	68.7
782	68.7
783	68.8
784	68.8
785	68.8
786	68.8
787	69.0
788	69.0
789	69.0
790	69.0
791	69.1
792	69.1
793	69.2
794	69.2
795	69.4
796	69.5
797	69.5
798	69.6
799	69.6
800	69.6
801	69.6
802	69.6
803	69.6
804	69.6
805	69.7
806	69.7
807	69.8
808	69.8
809	69.8
810	69.8
811	69.8
812	69.9
813	69.9
814	70.0
815	70.0
816	70.0
817	70.1
818	70.1
819	70.1
820	70.2
821	70.3
822	70.3
823	70.4
824	70.4
825	70.4
826	70.4
827	70.4
828	70.5
829	70.5
830	70.5
831	70.6
832	70.6
833	70.6
834	70.6
835	70.6
836	70.6
837	70.6
838	70.6
839	70.6
840	70.6
841	70.7
842	70.7
843	70.7
844	70.7
845	70.8
846	70.8
847	70.8
848	70.8
849	70.9
850	70.9
851	70.9
852	70.9
853	70.9
854	71.0
855	71.0
856	71.1
857	71.1
858	71.1
859	71.1
860	71.2
861	71.2
862	71.2
863	71.3
864	71.3
865	71.3
866	71.3
867	71.3
868	71.3
869	71.4
870	71.4
871	71.4
872	71.4
873	71.4
874	71.5
875	71.5
876	71.5
877	71.5
878	71.6
879	71.6
880	71.6
881	71.6
882	71.6
883	71.7
884	71.7
885	71.7
886	71.7
887	71.7
888	71.7
889	71.8
890	71.8
891	71.9
892	71.9
893	71.9
894	71.9
895	71.9
896	71.9
897	72.0
898	72.0
899	72.0
900	72.0
901	72.0
902	72.0
903	72.1
904	72.1
905	72.1
906	72.1
907	72.2
908	72.2
909	72.2
910	72.2
911	72.2
912	72.3
913	72.3
914	72.3
915	72.3
916	72.3
917	72.3
918	72.3
919	72.4
920	72.5
921	72.5
922	72.5
923	72.5
924	72.5
925	72.6
926	72.6
927	72.7
928	72.7
929	72.7
930	72.7
931	72.8
932	72.8
933	72.8
934	72.8
935	72.8
936	72.8
937	72.8
938	72.9
939	72.9
940	72.9
941	73.0
942	73.0
943	73.1
944	73.1
945	73.1
946	73.1
947	73.1
948	73.1
949	73.2
950	73.2
951	73.3
952	73.3
953	73.3
954	73.3
955	73.3
956	73.4
957	73.4
958	73.4
959	73.4
960	73.4
961	73.4
962	73.5
963	73.5
964	73.5
965	73.5
966	73.5
967	73.5
968	73.6
969	73.6
970	73.6
971	73.6
972	73.7
973	73.7
974	73.7
975	73.7
976	73.7
977	73.7
978	73.8
979	73.8
980	73.9
981	73.9
982	73.9
983	73.9
984	73.9
985	74.0
986	74.0
987	74.0
988	74.0
989	74.0
990	74.0
991	74.1
992	74.1
993	74.1
994	74.2
995	74.2
996	74.2
997	74.2
998	74.3
999	74.4
1000	74.4
1001	74.4
1002	74.4
1003	74.4
1004	74.4
1005	74.4
1006	74.5
1007	74.5
1008	74.5
1009	74.5
1010	74.5
1011	74.5
1012	74.6
1013	74.6
1014	74.7
1015	74.7
1016	74.7
1017	74.8
1018	74.8
1019	74.8
1020	74.8
1021	74.8
1022	74.9
1023	74.9
1024	75.0
1025	75.0
1026	75.0
1027	75.0
1028	75.0
1029	75.0
1030	75.0
1031	75.0
1032	75.1
1033	75.1
1034	75.1
1035	75.2
1036	75.3
1037	75.3
1038	75.3
1039	75.3
1040	75.3
1041	75.4
1042	75.4
1043	75.5
1044	75.5
1045	75.5
1046	75.5
1047	75.5
1048	75.5
1049	75.5
1050	75.5
1051	75.6
1052	75.6
1053	75.6
1054	75.6
1055	75.6
1056	75.6
1057	75.6
1058	75.6
1059	75.7
1060	75.7
1061	75.7
1062	75.7
1063	75.8
1064	75.8
1065	75.8
1066	75.8
1067	75.8
1068	75.8
1069	75.9
1070	75.9
1071	75.9
1072	75.9
1073	75.9
1074	76.0
1075	76.0
1076	76.0
1077	76.0
1078	76.0
1079	76.2
1080	76.2
1081	76.2
1082	76.2
1083	76.3
1084	76.3
1085	76.3
1086	76.4
1087	76.4
1088	76.5
1089	76.5
1090	76.5
1091	76.5
1092	76.5
1093	76.5
1094	76.5
1095	76.5
1096	76.5
1097	76.5
1098	76.5
1099	76.5
1100	76.6
1101	76.6
1102	76.6
1103	76.6
1104	76.6
1105	76.7
1106	76.7
1107	76.7
1108	76.7
1109	76.7
1110	76.7
1111	76.8
1112	76.8
1113	76.9
1114	76.9
1115	76.9
1116	76.9
1117	76.9
1118	76.9
1119	77.0
1120	77.0
1121	77.0
1122	77.0
1123	77.0
1124	77.0
1125	77.1
1126	77.1
1127	77.1
1128	77.1
1129	77.1
1130	77.1
1131	77.1
1132	77.2
1133	77.2
1134	77.2
1135	77.3
1136	77.3
1137	77.3
1138	77.3
1139	77.3
1140	77.3
1141	77.4
1142	77.4
1143	77.4
1144	77.4
1145	77.4
1146	77.4
1147	77.5
1148	77.5
1149	77.5
1150	77.5
1151	77.5
1152	77.5
1153	77.6
1154	77.6
1155	77.7
1156	77.7
1157	77.7
1158	77.7
1159	77.7
1160	77.7
1161	77.7
1162	77.7
1163	77.7
1164	77.8
1165	77.8
1166	77.8
1167	77.9
1168	77.9
1169	77.9
1170	77.9
1171	77.9
1172	78.0
1173	78.0
1174	78.0
1175	78.0
1176	78.0
1177	78.0
1178	78.0
1179	78.0
1180	78.1
1181	78.1
1182	78.2
1183	78.2
1184	78.2
1185	78.2
1186	78.2
1187	78.2
1188	78.2
1189	78.3
1190	78.3
1191	78.3
1192	78.3
1193	78.3
1194	78.3
1195	78.3
1196	78.3
1197	78.3
1198	78.3
1199	78.3
1200	78.3
1201	78.4
1202	78.4
1203	78.4
1204	78.4
1205	78.4
1206	78.4
1207	78.4
1208	78.4
1209	78.4
1210	78.4
1211	78.4
1212	78.4
1213	78.5
1214	78.5
1215	78.5
1216	78.5
1217	78.6
1218	78.6
1219	78.6
1220	78.6
1221	78.6
1222	78.6
1223	78.6
1224	78.6
1225	78.6
1226	78.6
1227	78.6
1228	78.7
1229	78.7
1230	78.7
1231	78.7
1232	78.7
1233	78.8
1234	78.8
1235	78.8
1236	78.8
1237	78.8
1238	78.8
1239	78.8
1240	78.9
1241	78.9
1242	78.9
1243	78.9
1244	78.9
1245	78.9
1246	78.9
1247	78.9
1248	79.0
1249	79.1
1250	79.2
1251	79.2
1252	79.2
1253	79.2
1254	79.2
1255	79.2
1256	79.2
1257	79.2
1258	79.2
1259	79.2
1260	79.3
1261	79.3
1262	79.3
1263	79.3
1264	79.3
1265	79.3
1266	79.4
1267	79.4
1268	79.4
1269	79.5
1270	79.5
1271	79.5
1272	79.5
1273	79.5
1274	79.5
1275	79.5
1276	79.5
1277	79.6
1278	79.6
1279	79.6
1280	79.7
1281	79.7
1282	79.7
1283	79.7
1284	79.7
1285	79.7
1286	79.8
1287	79.8
1288	79.8
1289	79.8
1290	79.8
1291	79.8
1292	79.9
1293	80.0
1294	80.0
1295	80.0
1296	80.0
1297	80.0
1298	80.1
1299	80.1
1300	80.1
1301	80.2
1302	80.2
1303	80.2
1304	80.2
1305	80.3
1306	80.3
1307	80.3
1308	80.3
1309	80.4
1310	80.4
1311	80.5
1312	80.5
1313	80.5
1314	80.5
1315	80.5
1316	80.5
1317	80.5
1318	80.5
1319	80.6
1320	80.6
1321	80.6
1322	80.6
1323	80.6
1324	80.6
1325	80.6
1326	80.6
1327	80.6
1328	80.6
1329	80.6
1330	80.6
1331	80.6
1332	80.6
1333	80.7
1334	80.7
1335	80.7
1336	80.7
1337	80.7
1338	80.7
1339	80.8
1340	80.8
1341	80.8
1342	80.8
1343	80.8
1344	80.8
1345	80.8
1346	80.9
1347	80.9
1348	80.9
1349	80.9
1350	80.9
1351	80.9
1352	80.9
1353	80.9
1354	81.0
1355	81.0
1356	81.0
1357	81.0
1358	81.0
1359	81.1
1360	81.1
1361	81.1
1362	81.1
1363	81.1
1364	81.1
1365	81.1
1366	81.2
1367	81.2
1368	81.2
1369	81.2
1370	81.2
1371	81.2
1372	81.2
1373	81.2
1374	81.3
1375	81.3
1376	81.3
1377	81.3
1378	81.3
1379	81.4
1380	81.4
1381	81.4
1382	81.4
1383	81.4
1384	81.4
1385	81.5
1386	81.5
1387	81.5
1388	81.5
1389	81.5
1390	81.5
1391	81.5
1392	81.5
1393	81.6
1394	81.6
1395	81.6
1396	81.6
1397	81.6
1398	81.6
1399	81.6
1400	81.6
1401	81.6
1402	81.6
1403	81.7
1404	81.7
1405	81.7
1406	81.7
1407	81.7
1408	81.7
1409	81.7
1410	81.7
1411	81.7
1412	81.7
1413	81.8
1414	81.8
1415	81.8
1416	81.8
1417	81.8
1418	81.8
1419	81.8
1420	81.9
1421	81.9
1422	81.9
1423	81.9
1424	81.9
1425	81.9
1426	81.9
1427	81.9
1428	81.9
1429	81.9
1430	82.0
1431	82.0
1432	82.0
1433	82.0
1434	82.0
1435	82.1
1436	82.1
1437	82.1
1438	82.1
1439	82.1
1440	82.1
1441	82.2
1442	82.2
1443	82.2
1444	82.3
1445	82.3
1446	82.3
1447	82.3
1448	82.3
1449	82.3
1450	82.3
1451	82.4
1452	82.4
1453	82.4
1454	82.4
1455	82.4
1456	82.4
1457	82.4
1458	82.4
1459	82.4
1460	82.4
1461	82.5
1462	82.5
1463	82.5
1464	82.5
1465	82.5
1466	82.5
1467	82.5
1468	82.5
1469	82.5
1470	82.6
1471	82.6
1472	82.6
1473	82.6
1474	82.6
1475	82.6
1476	82.7
1477	82.7
1478	82.7
1479	82.7
1480	82.7
1481	82.7
1482	82.7
1483	82.7
1484	82.7
1485	82.8
1486	82.8
1487	82.8
1488	82.8
1489	82.8
1490	82.8
1491	82.8
1492	82.8
1493	82.8
1494	82.8
1495	82.8
1496	82.9
1497	82.9
1498	82.9
1499	82.9
1500	82.9
1501	82.9
1502	82.9
1503	82.9
1504	82.9
1505	82.9
1506	83.0
1507	83.0
1508	83.0
1509	83.0
1510	83.0
1511	83.0
1512	83.0
1513	83.0
1514	83.0
1515	83.0
1516	83.0
1517	83.0
1518	83.0
1519	83.1
1520	83.1
1521	83.1
1522	83.1
1523	83.1
1524	83.1
1525	83.1
1526	83.1
1527	83.1
1528	83.1
1529	83.1
1530	83.1
1531	83.1
1532	83.1
1533	83.1
1534	83.2
1535	83.2
1536	83.2
1537	83.2
1538	83.2
1539	83.2
1540	83.3
1541	83.3
1542	83.3
1543	83.3
1544	83.3
1545	83.3
1546	83.3
1547	83.3
1548	83.3
1549	83.3
1550	83.3
1551	83.3
1552	83.3
1553	83.3
1554	83.4
1555	83.4
1556	83.4
1557	83.4
1558	83.4
1559	83.4
1560	83.5
1561	83.5
1562	83.5
1563	83.5
1564	83.5
1565	83.5
1566	83.6
1567	83.6
1568	83.6
1569	83.6
1570	83.6
1571	83.6
1572	83.6
1573	83.7
1574	83.7
1575	83.7
1576	83.7
1577	83.7
1578	83.7
1579	83.7
1580	83.7
1581	83.7
1582	83.7
1583	83.7
1584	83.7
1585	83.7
1586	83.8
1587	83.8
1588	83.8
1589	83.8
1590	83.8
1591	83.8
1592	83.8
1593	83.8
1594	83.8
1595	83.8
1596	83.8
1597	83.8
1598	83.9
1599	83.9
1600	83.9
1601	83.9
1602	83.9
1603	83.9
1604	83.9
1605	83.9
1606	83.9
1607	83.9
1608	83.9
1609	83.9
1610	83.9
1611	84.0
1612	84.0
1613	84.0
1614	84.0
1615	84.0
1616	84.0
1617	84.0
1618	84.0
1619	84.0
1620	84.0
1621	84.0
1622	84.0
1623	84.1
1624	84.1
1625	84.1
1626	84.2
1627	84.2
1628	84.2
1629	84.2
1630	84.2
1631	84.2
1632	84.2
1633	84.2
1634	84.2
1635	84.2
1636	84.3
1637	84.3
1638	84.3
1639	84.3
1640	84.3
1641	84.3
1642	84.3
1643	84.3
1644	84.3
1645	84.3
1646	84.3
1647	84.3
1648	84.3
1649	84.4
1650	84.4
1651	84.4
1652	84.4
1653	84.4
1654	84.4
1655	84.4
1656	84.4
1657	84.4
1658	84.4
1659	84.4
1660	84.4
1661	84.4
1662	84.5
1663	84.5
1664	84.5
1665	84.5
1666	84.5
1667	84.5
1668	84.5
1669	84.5
1670	84.5
1671	84.5
1672	84.5
1673	84.6
1674	84.6
1675	84.6
1676	84.6
1677	84.6
1678	84.6
1679	84.6
1680	84.6
1681	84.6
1682	84.6
1683	84.6
1684	84.6
1685	84.6
1686	84.7
1687	84.7
1688	84.7
1689	84.7
1690	84.7
1691	84.7
1692	84.7
1693	84.7
1694	84.7
1695	84.7
1696	84.7
1697	84.7
1698	84.7
1699	84.7
1700	84.7
1701	84.8
1702	84.8
1703	84.8
1704	84.8
1705	84.8
1706	84.8
1707	84.8
1708	84.8
1709	84.8
1710	84.9
1711	84.9
1712	84.9
1713	84.9
1714	84.9
1715	84.9
1716	84.9
1717	84.9
1718	84.9
1719	84.9
1720	84.9
1721	85.0
1722	85.0
1723	85.0
1724	85.0
1725	85.0
1726	85.0
1727	85.0
1728	85.0
1729	85.0
1730	85.0
1731	85.0
1732	85.1
1733	85.1
1734	85.1
1735	85.1
1736	85.1
1737	85.1
1738	85.1
1739	85.1
1740	85.2
1741	85.2
1742	85.2
1743	85.2
1744	85.2
1745	85.2
1746	85.2
1747	85.2
1748	85.2
1749	85.2
1750	85.2
1751	85.2
1752	85.2
1753	85.2
1754	85.2
1755	85.2
1756	85.3
1757	85.3
1758	85.3
1759	85.3
1760	85.3
1761	85.3
1762	85.3
1763	85.3
1764	85.3
1765	85.3
1766	85.3
1767	85.3
1768	85.3
1769	85.3
1770	85.3
1771	85.4
1772	85.4
1773	85.4
1774	85.4
1775	85.4
1776	85.4
1777	85.4
1778	85.5
1779	85.5
1780	85.5
1781	85.5
1782	85.5
1783	85.5
1784	85.5
1785	85.5
1786	85.5
1787	85.5
1788	85.5
1789	85.5
1790	85.5
1791	85.5
1792	85.5
1793	85.5
1794	85.6
1795	85.6
1796	85.6
1797	85.6
1798	85.6
1799	85.6
1800	85.6
1801	85.6
1802	85.6
1803	85.6
1804	85.6
1805	85.6
1806	85.6
1807	85.6
1808	85.6
1809	85.7
1810	85.7
1811	85.7
1812	85.7
1813	85.7
1814	85.7
1815	85.7
1816	85.7
1817	85.7
1818	85.7
1819	85.7
1820	85.7
1821	85.7
1822	85.7
1823	85.7
1824	85.7
1825	85.7
1826	85.7
1827	85.8
1828	85.8
1829	85.8
1830	85.9
1831	85.9
1832	85.9
1833	85.9
1834	85.9
1835	85.9
1836	85.9
1837	85.9
1838	85.9
1839	85.9
1840	85.9
1841	86.0
1842	86.0
1843	86.0
1844	86.0
1845	86.0
1846	86.0
1847	86.0
1848	86.0
1849	86.0
1850	86.0
1851	86.0
1852	86.0
1853	86.1
1854	86.1
1855	86.1
1856	86.1
1857	86.1
1858	86.1
1859	86.1
1860	86.1
1861	86.1
1862	86.1
1863	86.1
1864	86.1
1865	86.1
1866	86.1
1867	86.1
1868	86.1
1869	86.1
1870	86.1
1871	86.1
1872	86.1
1873	86.1
1874	86.2
1875	86.2
1876	86.2
1877	86.2
1878	86.2
1879	86.2
1880	86.2
1881	86.2
1882	86.2
1883	86.2
1884	86.3
1885	86.3
1886	86.3
1887	86.3
1888	86.3
1889	86.3
1890	86.3
1891	86.3
1892	86.3
1893	86.3
1894	86.3
1895	86.3
1896	86.3
1897	86.3
1898	86.3
1899	86.3
1900	86.3
1901	86.3
1902	86.3
1903	86.4
1904	86.4
1905	86.4
1906	86.4
1907	86.4
1908	86.5
1909	86.5
1910	86.5
1911	86.5
1912	86.5
1913	86.5
1914	86.5
1915	86.5
1916	86.5
1917	86.5
1918	86.5
1919	86.5
1920	86.5
1921	86.5
1922	86.6
1923	86.6
1924	86.6
1925	86.6
1926	86.6
1927	86.6
1928	86.6
1929	86.6
1930	86.6
1931	86.6
1932	86.6
1933	86.6
1934	86.7
1935	86.7
1936	86.7
1937	86.7
1938	86.7
1939	86.7
1940	86.7
1941	86.7
1942	86.7
1943	86.7
1944	86.7
1945	86.7
1946	86.8
1947	86.8
1948	86.8
1949	86.8
1950	86.8
1951	86.8
1952	86.8
1953	86.8
1954	86.8
1955	86.8
1956	86.8
1957	86.8
1958	86.8
1959	86.9
1960	86.9
1961	86.9
1962	86.9
1963	86.9
1964	86.9
1965	86.9
1966	86.9
1967	86.9
1968	87.0
1969	87.0
1970	87.0
1971	87.0
1972	87.0
1973	87.0
1974	87.0
1975	87.0
1976	87.0
1977	87.0
1978	87.0
1979	87.0
1980	87.0
1981	87.0
1982	87.0
1983	87.0
1984	87.0
1985	87.0
1986	87.1
1987	87.1
1988	87.1
1989	87.1
1990	87.1
1991	87.1
1992	87.1
1993	87.1
1994	87.1
1995	87.1
1996	87.1
1997	87.1
1998	87.1
1999	87.1
2000	87.1
2001	87.1
2002	87.1
2003	87.2
2004	87.2
2005	87.2
2006	87.2
2007	87.2
2008	87.2
2009	87.2
2010	87.2
2011	87.2
2012	87.2
2013	87.2
2014	87.2
2015	87.3
2016	87.3
2017	87.3
2018	87.3
2019	87.3
2020	87.3
2021	87.3
2022	87.3
2023	87.3
2024	87.3
2025	87.3
2026	87.4
2027	87.4
2028	87.4
2029	87.4
2030	87.4
2031	87.4
2032	87.4
2033	87.4
2034	87.4
2035	87.4
2036	87.4
2037	87.4
2038	87.4
2039	87.4
2040	87.5
2041	87.5
2042	87.5
2043	87.5
2044	87.5
2045	87.5
2046	87.5
2047	87.5
2048	87.5
2049	87.5
2050	87.5
2051	87.5
2052	87.6
2053	87.6
2054	87.6
2055	87.6
2056	87.6
2057	87.6
2058	87.6
2059	87.6
2060	87.6
2061	87.6
2062	87.6
2063	87.6
2064	87.6
2065	87.6
2066	87.6
2067	87.6
2068	87.6
2069	87.6
2070	87.7
2071	87.7
2072	87.7
2073	87.7
2074	87.7
2075	87.7
2076	87.7
2077	87.7
2078	87.7
2079	87.7
2080	87.7
2081	87.7
2082	87.7
2083	87.7
2084	87.7
2085	87.7
2086	87.7
2087	87.7
2088	87.7
2089	87.8
2090	87.8
2091	87.8
2092	87.8
2093	87.8
2094	87.8
2095	87.8
2096	87.8
2097	87.8
2098	87.8
2099	87.8
2100	87.8
2101	87.8
2102	87.8
2103	87.8
2104	87.8
2105	87.8
2106	87.9
2107	87.9
2108	87.9
2109	87.9
2110	87.9
2111	87.9
2112	87.9
2113	87.9
2114	87.9
2115	87.9
2116	87.9
2117	87.9
2118	87.9
2119	87.9
2120	87.9
2121	87.9
2122	87.9
2123	87.9
2124	88.0
2125	88.0
2126	88.0
2127	88.0
2128	88.0
2129	88.0
2130	88.0
2131	88.0
2132	88.0
2133	88.0
2134	88.0
2135	88.0
2136	88.0
2137	88.0
2138	88.0
2139	88.0
2140	88.0
