# BUSCO version is: 5.2.0 
# The lineage dataset is: diptera_odb10 (Creation date: 2020-08-05, number of genomes: 56, number of BUSCOs: 3285)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
396at7147	Complete	NT_033778.4	11868146	11885445	-	5492.9	4038	https://www.orthodb.org/v10?query=396at7147	Midasin
423at7147	Complete	NT_037436.4	9631991	9674839	-	4719.9	2611	https://www.orthodb.org/v10?query=423at7147	protein furry isoform X1
432at7147	Complete	NC_004354.4	2472950	2544622	-	3561.4	3204	https://www.orthodb.org/v10?query=432at7147	Immunoglobulin-like domain
459at7147	Complete	NT_033777.3	31778465	31789717	+	3536.5	1973	https://www.orthodb.org/v10?query=459at7147	probable ubiquitin carboxyl-terminal hydrolase FAF isoform X1
466at7147	Complete	NT_033779.5	13004785	13012928	+	3781.2	2082	https://www.orthodb.org/v10?query=466at7147	Serine/threonine-protein kinase TOR
491at7147	Complete	NT_033777.3	28696331	28733610	+	1829.0	1652	https://www.orthodb.org/v10?query=491at7147	Huntingtin protein
508at7147	Complete	NT_033778.4	7567264	7580425	+	3723.1	2548	https://www.orthodb.org/v10?query=508at7147	Vacuolar protein sorting-associated protein 13
509at7147	Complete	NT_033778.4	12154379	12162692	-	4781.7	2090	https://www.orthodb.org/v10?query=509at7147	pre-mRNA-processing-splicing factor 8
516at7147	Complete	NT_033777.3	24636460	24648405	-	3905.6	2137	https://www.orthodb.org/v10?query=516at7147	Ubiquitin carboxyl-terminal hydrolase 34
556at7147	Complete	NT_033779.5	10281999	10290489	-	3490.5	2151	https://www.orthodb.org/v10?query=556at7147	Ankyrin repeat-containing domain
566at7147	Complete	NT_033779.5	18488076	18496041	-	3113.3	1911	https://www.orthodb.org/v10?query=566at7147	chondroitin sulfate proteoglycan 4
591at7147	Complete	NC_004354.4	2225710	2236591	+	1973.5	1189	https://www.orthodb.org/v10?query=591at7147	protein pecanex
595at7147	Complete	NT_033777.3	9714954	9725524	-	3307.7	2170	https://www.orthodb.org/v10?query=595at7147	HECT domain
597at7147	Complete	NT_037436.4	27967333	28012482	-	3037.2	1937	https://www.orthodb.org/v10?query=597at7147	Translational activator gcn1
608at7147	Complete	NT_037436.4	1779184	1788895	-	4342.0	2152	https://www.orthodb.org/v10?query=608at7147	EF-hand domain
610at7147	Complete	NT_033777.3	20635814	20644130	+	3400.0	1905	https://www.orthodb.org/v10?query=610at7147	Leucine-rich repeat
612at7147	Complete	NT_033778.4	9567980	9578288	-	2743.5	1657	https://www.orthodb.org/v10?query=612at7147	CCR4-NOT transcription complex, subunit
626at7147	Complete	NT_033777.3	28521131	28531457	-	2452.1	2031	https://www.orthodb.org/v10?query=626at7147	Immunoglobulin-like domain
648at7147	Complete	NC_004354.4	17661183	17668933	+	4161.2	2056	https://www.orthodb.org/v10?query=648at7147	Spectrin beta chain
698at7147	Complete	NT_037436.4	8561481	8573785	+	4361.0	2279	https://www.orthodb.org/v10?query=698at7147	FERM domain
729at7147	Complete	NT_037436.4	15961002	15967751	-	3874.4	1881	https://www.orthodb.org/v10?query=729at7147	putative U5 small nuclear ribonucleoprotein 200 kDa helicase
745at7147	Complete	NC_004354.4	15912834	15919877	+	2663.5	1456	https://www.orthodb.org/v10?query=745at7147	EGF-like calcium-binding, conserved site
762at7147	Complete	NT_033778.4	9168136	9176778	-	3906.2	1979	https://www.orthodb.org/v10?query=762at7147	dnaJ homolog subfamily C member 13 isoform X1
765at7147	Complete	NT_033778.4	22483418	22491922	+	2260.5	1924	https://www.orthodb.org/v10?query=765at7147	small subunit processome component 20 homolog
784at7147	Complete	NT_033779.5	7473113	7495607	-	3138.1	1708	https://www.orthodb.org/v10?query=784at7147	Dedicator of cytokinesis
811at7147	Complete	NT_033778.4	7974489	7985760	-	3716.9	1839	https://www.orthodb.org/v10?query=811at7147	Acetyl-CoA carboxylase
814at7147	Complete	NC_004354.4	6824637	6837296	+	1676.8	1416	https://www.orthodb.org/v10?query=814at7147	serine/threonine-protein kinase Smg1
824at7147	Complete	NC_004354.4	16656397	16668590	+	2207.2	1142	https://www.orthodb.org/v10?query=824at7147	Carbamoyl-phosphate synthase small subunit, N-terminal domain
839at7147	Complete	NT_033777.3	16484701	16493036	-	1978.6	1341	https://www.orthodb.org/v10?query=839at7147	cadherin-89D
860at7147	Complete	NT_037436.4	20995706	21025019	-	1417.9	937	https://www.orthodb.org/v10?query=860at7147	Mediator of RNA polymerase II transcription subunit 13
869at7147	Complete	NT_033777.3	19230863	19245790	-	3556.6	2028	https://www.orthodb.org/v10?query=869at7147	protein unc-79 homolog isoform X1
889at7147	Complete	NT_037436.4	8473009	8494261	-	2727.6	1738	https://www.orthodb.org/v10?query=889at7147	tetratricopeptide repeat protein 28
898at7147	Complete	NC_004354.4	11071723	11084124	-	957.4	1114	https://www.orthodb.org/v10?query=898at7147	Tyrosine-protein kinase receptor
920at7147	Complete	NT_037436.4	16788412	16799791	-	3480.1	1758	https://www.orthodb.org/v10?query=920at7147	Glutamate synthase, alpha subunit, C-terminal
967at7147	Complete	NT_033777.3	8016682	8026840	-	3380.1	1793	https://www.orthodb.org/v10?query=967at7147	HEAT repeat-containing protein 5B isoform X1
969at7147	Complete	NC_004354.4	1322573	1329271	+	2001.6	1859	https://www.orthodb.org/v10?query=969at7147	uncharacterized protein LOC108023667
976at7147	Complete	NT_033777.3	22734111	22741029	-	2729.8	1606	https://www.orthodb.org/v10?query=976at7147	endoribonuclease Dcr-1
977at7147	Complete	NT_033779.5	7814947	7820386	+	2411.3	1464	https://www.orthodb.org/v10?query=977at7147	laminin subunit beta-1
981at7147	Complete	NT_033777.3	8828097	8865777	-	2132.0	1354	https://www.orthodb.org/v10?query=981at7147	PDZ domain
1009at7147	Complete	NC_004353.4	1065107	1076110	+	2819.8	2567	https://www.orthodb.org/v10?query=1009at7147	apolipophorins
1015at7147	Complete	NT_033777.3	25249630	25258555	+	1489.0	1363	https://www.orthodb.org/v10?query=1015at7147	Zinc finger, RanBP2-type
1017at7147	Complete	NT_033779.5	183761	201410	+	1665.8	2307	https://www.orthodb.org/v10?query=1017at7147	SHARP, RNA recognition motif 2
1064at7147	Complete	NT_033778.4	18459855	18476677	-	2373.2	1350	https://www.orthodb.org/v10?query=1064at7147	WD40 repeat
1082at7147	Complete	NT_033779.5	19776944	19782364	-	1533.2	1169	https://www.orthodb.org/v10?query=1082at7147	GTPase-activating protein CdGAPr
1099at7147	Complete	NT_033778.4	12188754	12198677	-	2349.9	1506	https://www.orthodb.org/v10?query=1099at7147	proteasome-associated protein ECM29 homolog
1122at7147	Complete	NT_033778.4	21324199	21341123	+	2154.8	1248	https://www.orthodb.org/v10?query=1122at7147	SNF2-related, N-terminal domain
1142at7147	Complete	NC_004354.4	19852347	19859312	+	1934.7	1481	https://www.orthodb.org/v10?query=1142at7147	Nuclear pore complex protein Nup205
1152at7147	Complete	NT_037436.4	1593669	1599857	+	1036.4	971	https://www.orthodb.org/v10?query=1152at7147	BTB/POZ domain
1190at7147	Complete	NT_033777.3	15486142	15492981	+	2490.8	1468	https://www.orthodb.org/v10?query=1190at7147	activating signal cointegrator 1 complex subunit 3
1204at7147	Complete	NT_033777.3	15977306	15983321	+	2504.2	1524	https://www.orthodb.org/v10?query=1204at7147	SNF2-related, N-terminal domain
1216at7147	Complete	NT_033777.3	16060740	16067511	-	2767.6	1387	https://www.orthodb.org/v10?query=1216at7147	WD40-repeat-containing domain
1224at7147	Complete	NT_033777.3	23348190	23355084	+	3451.0	1799	https://www.orthodb.org/v10?query=1224at7147	DNA polymerase epsilon catalytic subunit
1246at7147	Complete	NT_033779.5	13793847	13799141	+	2904.8	1413	https://www.orthodb.org/v10?query=1246at7147	Sec7, C-terminal
1270at7147	Complete	NT_033777.3	22470484	22483852	+	2835.3	1402	https://www.orthodb.org/v10?query=1270at7147	neurexin-1 isoform X1
1273at7147	Complete	NT_033777.3	26967443	26976541	+	2430.7	1404	https://www.orthodb.org/v10?query=1273at7147	probable Rho GTPase-activating protein CG5521 isoform X1
1288at7147	Complete	NT_033778.4	6721593	6740251	-	2796.2	1529	https://www.orthodb.org/v10?query=1288at7147	L(2) long form, putative
1297at7147	Complete	NT_033778.4	11852755	11860598	+	1546.3	1591	https://www.orthodb.org/v10?query=1297at7147	nucleoprotein TPR
1314at7147	Complete	NT_033777.3	29807334	29814427	+	1501.8	1121	https://www.orthodb.org/v10?query=1314at7147	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
1378at7147	Complete	NC_004354.4	15828274	15833310	-	2755.0	1374	https://www.orthodb.org/v10?query=1378at7147	Clathrin heavy chain
1388at7147	Complete	NT_033778.4	4691860	4728498	-	2041.7	1262	https://www.orthodb.org/v10?query=1388at7147	Nipped-B protein
1424at7147	Complete	NT_033777.3	11422394	11429535	+	1558.2	1359	https://www.orthodb.org/v10?query=1424at7147	FYVE zinc finger
1448at7147	Complete	NT_033779.5	19509161	19516491	-	1599.0	1245	https://www.orthodb.org/v10?query=1448at7147	Sushi/SCR/CCP domain
1460at7147	Complete	NT_037436.4	14043852	14049668	-	2084.3	1228	https://www.orthodb.org/v10?query=1460at7147	Neuralized
1492at7147	Complete	NT_033779.5	144376	153105	-	760.2	576	https://www.orthodb.org/v10?query=1492at7147	Armadillo-type fold
1519at7147	Complete	NT_033777.3	18750583	18758661	-	1317.8	1367	https://www.orthodb.org/v10?query=1519at7147	ectopic P granules protein 5 homolog
1524at7147	Complete	NT_033777.3	24295746	24313875	+	2612.7	1834	https://www.orthodb.org/v10?query=1524at7147	EGF-like calcium-binding, conserved site
1539at7147	Complete	NC_004354.4	1910756	1915330	+	2503.1	1267	https://www.orthodb.org/v10?query=1539at7147	WD40-repeat-containing domain
1545at7147	Complete	NT_037436.4	3211363	3218803	-	3308.9	1826	https://www.orthodb.org/v10?query=1545at7147	protein KIAA0100
1553at7147	Complete	NT_037436.4	2774692	2780409	+	1708.2	1280	https://www.orthodb.org/v10?query=1553at7147	Autophagy-related, C-terminal
1616at7147	Complete	NT_033778.4	18837349	18845628	-	2720.3	1770	https://www.orthodb.org/v10?query=1616at7147	protein dopey-1 homolog
1629at7147	Complete	NT_033779.5	1913477	1942961	+	2248.3	1514	https://www.orthodb.org/v10?query=1629at7147	WD40-repeat-containing domain
1636at7147	Complete	NT_033779.5	95131	101295	+	2737.8	1528	https://www.orthodb.org/v10?query=1636at7147	Dedicator of cytokinesis
1674at7147	Complete	NT_037436.4	234301	246215	-	2612.1	2122	https://www.orthodb.org/v10?query=1674at7147	Nucleosome-remodeling factor subunit NURF301
1712at7147	Complete	NC_004354.4	722299	747627	+	3017.3	1781	https://www.orthodb.org/v10?query=1712at7147	Immunoglobulin-like domain
1727at7147	Complete	NT_033779.5	8074958	8080549	-	2782.4	1426	https://www.orthodb.org/v10?query=1727at7147	Alpha-2-macroglobulin, N-terminal
1738at7147	Complete	NT_033777.3	27586697	27593537	-	1898.8	1177	https://www.orthodb.org/v10?query=1738at7147	Thyroglobulin type-1
1739at7147	Complete	NT_033779.5	8117522	8123232	-	2312.6	1267	https://www.orthodb.org/v10?query=1739at7147	Protein MON2
1759at7147	Complete	NT_037436.4	1523516	1533907	-	1728.5	1064	https://www.orthodb.org/v10?query=1759at7147	DEP domain-containing protein 5 isoform X1
1786at7147	Complete	NC_004354.4	21132450	21140123	+	2170.7	1464	https://www.orthodb.org/v10?query=1786at7147	ABC transporter A
1789at7147	Complete	NT_033777.3	5173805	5203327	-	809.8	430	https://www.orthodb.org/v10?query=1789at7147	afadin isoform X1
1846at7147	Complete	NT_037436.4	998087	1033827	-	2338.9	1461	https://www.orthodb.org/v10?query=1846at7147	Dbl homology (DH) domain
1858at7147	Complete	NT_033779.5	11509305	11515779	-	1917.3	1333	https://www.orthodb.org/v10?query=1858at7147	disks large homolog 5
1898at7147	Complete	NC_004354.4	16957496	16967671	-	2015.2	1271	https://www.orthodb.org/v10?query=1898at7147	E3 ubiquitin-protein ligase UBR1
1926at7147	Complete	NT_033778.4	14595664	14601117	-	2056.8	1316	https://www.orthodb.org/v10?query=1926at7147	DNA-directed RNA polymerase subunit
1957at7147	Complete	NC_004354.4	17641620	17650227	-	1935.2	1189	https://www.orthodb.org/v10?query=1957at7147	Rho GTPase-activating protein domain
1962at7147	Complete	NT_033779.5	13784169	13790297	+	1266.1	1052	https://www.orthodb.org/v10?query=1962at7147	ABC transporter A
1967at7147	Complete	NC_004354.4	15455828	15462334	-	1809.1	1280	https://www.orthodb.org/v10?query=1967at7147	anaphase-promoting complex subunit 1
1975at7147	Complete	NC_004354.4	14267652	14276627	+	2934.6	1423	https://www.orthodb.org/v10?query=1975at7147	Voltage-gated ion channel
2004at7147	Complete	NT_033779.5	3760204	3768187	+	427.2	251	https://www.orthodb.org/v10?query=2004at7147	PH-like domain superfamily
2027at7147	Complete	NT_037436.4	2508309	2536210	-	1201.3	865	https://www.orthodb.org/v10?query=2027at7147	Sterile alpha motif domain
2048at7147	Complete	NT_033779.5	22999675	23015979	-	2992.1	1692	https://www.orthodb.org/v10?query=2048at7147	Chitin binding domain
2092at7147	Complete	NC_004354.4	18865439	18878117	+	2108.0	1133	https://www.orthodb.org/v10?query=2092at7147	zinc finger SWIM domain-containing protein 8
2104at7147	Complete	NT_033779.5	19644263	19730158	+	2442.8	1577	https://www.orthodb.org/v10?query=2104at7147	Fibronectin type III
2109at7147	Complete	NT_033779.5	553939	558540	-	1845.5	1137	https://www.orthodb.org/v10?query=2109at7147	WD40/YVTN repeat-like-containing domain superfamily
2118at7147	Complete	NT_033777.3	29845603	29854304	+	1867.7	1327	https://www.orthodb.org/v10?query=2118at7147	Cadherin
2164at7147	Complete	NC_004354.4	15512742	15517775	-	1374.0	929	https://www.orthodb.org/v10?query=2164at7147	Adenylyl cyclase class-3/4/guanylyl cyclase
2199at7147	Complete	NT_033777.3	11790044	11796434	-	2489.8	1465	https://www.orthodb.org/v10?query=2199at7147	myotubularin-related protein 13
2200at7147	Complete	NC_004354.4	15763081	15769356	+	2328.7	1173	https://www.orthodb.org/v10?query=2200at7147	DNA-directed RNA polymerase subunit
2213at7147	Complete	NT_033777.3	31396005	31401373	+	1818.2	1179	https://www.orthodb.org/v10?query=2213at7147	eIF-2-alpha kinase GCN2
2232at7147	Complete	NC_004354.4	496939	507873	+	1687.0	1066	https://www.orthodb.org/v10?query=2232at7147	carboxypeptidase D isoform X1
2233at7147	Complete	NT_033779.5	2816344	2821310	-	2635.5	1272	https://www.orthodb.org/v10?query=2233at7147	dual oxidase
2249at7147	Complete	NT_033778.4	12680047	12685982	-	1993.8	1462	https://www.orthodb.org/v10?query=2249at7147	nucleoporin NUP188 homolog
2257at7147	Complete	NC_004354.4	10604163	10618606	-	729.2	760	https://www.orthodb.org/v10?query=2257at7147	Zinc finger C2H2 superfamily
2273at7147	Complete	NT_033779.5	5346857	5365014	+	2158.8	1219	https://www.orthodb.org/v10?query=2273at7147	Ankyrin repeat-containing domain
2274at7147	Complete	NT_037436.4	14864854	14881730	+	1945.5	1131	https://www.orthodb.org/v10?query=2274at7147	Immunoglobulin-like domain
2293at7147	Complete	NT_033778.4	15518894	15527684	-	2650.4	1378	https://www.orthodb.org/v10?query=2293at7147	Kinesin
2302at7147	Complete	NT_033778.4	21050808	21056394	-	1979.7	1209	https://www.orthodb.org/v10?query=2302at7147	Cadherin
2306at7147	Complete	NT_037436.4	20454775	20459555	-	1376.6	944	https://www.orthodb.org/v10?query=2306at7147	Leucine-rich repeat
2315at7147	Complete	NT_037436.4	5756244	5761380	+	928.1	706	https://www.orthodb.org/v10?query=2315at7147	Ubiquitin specific protease, conserved site
2334at7147	Complete	NT_033778.4	16629075	16634652	-	2188.8	1191	https://www.orthodb.org/v10?query=2334at7147	Tyrosine-protein kinase receptor
2361at7147	Complete	NT_033777.3	21666619	21671574	-	1722.5	1229	https://www.orthodb.org/v10?query=2361at7147	DNA polymerase
2377at7147	Complete	NT_033779.5	11123878	11128922	+	1445.8	1148	https://www.orthodb.org/v10?query=2377at7147	nuclear pore complex protein Nup160 homolog
2383at7147	Complete	NT_037436.4	21658374	21666016	+	1649.5	924	https://www.orthodb.org/v10?query=2383at7147	Ankyrin repeat-containing domain
2390at7147	Complete	NT_033778.4	15871422	15890602	-	1968.2	1162	https://www.orthodb.org/v10?query=2390at7147	Leucine-rich repeat
2407at7147	Complete	NT_037436.4	22258141	22262677	-	1583.1	991	https://www.orthodb.org/v10?query=2407at7147	guanine nucleotide exchange factor subunit Rich
2421at7147	Complete	NT_033777.3	31179922	31195453	-	2118.9	1060	https://www.orthodb.org/v10?query=2421at7147	protein mesh isoform X1
2437at7147	Complete	NT_033779.5	4295224	4321060	+	1200.6	624	https://www.orthodb.org/v10?query=2437at7147	Immunoglobulin-like domain
2459at7147	Complete	NT_033778.4	15263725	15292819	-	2118.9	1124	https://www.orthodb.org/v10?query=2459at7147	transient receptor potential cation channel trpm isoform X1
2483at7147	Complete	NT_033779.5	19520584	19525237	+	1512.5	1038	https://www.orthodb.org/v10?query=2483at7147	WD40 repeat
2497at7147	Complete	NT_033778.4	24038061	24044334	+	2114.5	1445	https://www.orthodb.org/v10?query=2497at7147	integrator complex subunit 1
2501at7147	Fragmented	NT_033779.5	12016598	12020740	-	1256.9	877	https://www.orthodb.org/v10?query=2501at7147	WD40-repeat-containing domain
2540at7147	Complete	NT_033778.4	16309572	16316204	+	1146.0	582	https://www.orthodb.org/v10?query=2540at7147	Ferric reductase, NAD binding domain
2590at7147	Complete	NT_033777.3	23689531	23694447	-	866.5	594	https://www.orthodb.org/v10?query=2590at7147	Ubiquitin-conjugating enzyme E2
2598at7147	Complete	NT_033777.3	24156018	24161029	-	1434.9	882	https://www.orthodb.org/v10?query=2598at7147	Unconventional myosin 95e isoform
2625at7147	Complete	NT_033777.3	15191308	15196025	-	1669.7	1080	https://www.orthodb.org/v10?query=2625at7147	Zinc finger, RING/FYVE/PHD-type
2656at7147	Complete	NC_004354.4	13722359	13726618	+	1051.1	831	https://www.orthodb.org/v10?query=2656at7147	BRCT domain
2661at7147	Complete	NT_033779.5	15163605	15178322	-	1479.1	1052	https://www.orthodb.org/v10?query=2661at7147	Leucine-rich repeat
2687at7147	Complete	NC_004354.4	15093252	15112038	+	2249.5	1370	https://www.orthodb.org/v10?query=2687at7147	Rab3 GDP-GTP exchange factor, isoform G
2714at7147	Complete	NT_033777.3	15333391	15337717	+	2353.4	1113	https://www.orthodb.org/v10?query=2714at7147	Cytoplasmic FMR1-interacting protein
2750at7147	Complete	NT_037436.4	827880	832939	-	1964.4	985	https://www.orthodb.org/v10?query=2750at7147	WD40/YVTN repeat-like-containing domain superfamily
2752at7147	Complete	NC_004354.4	9094245	9103070	-	1885.4	940	https://www.orthodb.org/v10?query=2752at7147	Phosphorylase b kinase regulatory subunit
2768at7147	Complete	NT_037436.4	9617246	9623386	+	2291.2	1297	https://www.orthodb.org/v10?query=2768at7147	Laminin, N-terminal
2780at7147	Complete	NT_037436.4	19613740	19618444	-	1701.5	1046	https://www.orthodb.org/v10?query=2780at7147	trafficking protein particle complex subunit 8
2789at7147	Complete	NT_033777.3	24328694	24333220	-	1095.0	1023	https://www.orthodb.org/v10?query=2789at7147	protein RRP5 homolog
2817at7147	Complete	NT_037436.4	1950581	1962894	-	2569.3	2206	https://www.orthodb.org/v10?query=2817at7147	WD40-repeat-containing domain
2831at7147	Complete	NT_033777.3	16052144	16059815	+	3692.4	2069	https://www.orthodb.org/v10?query=2831at7147	Microtubule associated protein xmap215
2841at7147	Complete	NT_033779.5	13185467	13189572	-	1050.3	743	https://www.orthodb.org/v10?query=2841at7147	Leucine-rich repeat
2843at7147	Complete	NT_037436.4	3199433	3210906	+	1532.8	993	https://www.orthodb.org/v10?query=2843at7147	trafficking protein particle complex subunit 11
2889at7147	Complete	NT_033779.5	20651292	20655783	-	1520.9	922	https://www.orthodb.org/v10?query=2889at7147	protein brunelleschi
2891at7147	Complete	NT_033777.3	24149669	24259243	-	2002.7	1058	https://www.orthodb.org/v10?query=2891at7147	myosin heavy chain 95F isoform X1
2918at7147	Complete	NT_033778.4	12326673	12333492	+	2211.6	1224	https://www.orthodb.org/v10?query=2918at7147	Sec7 domain
2948at7147	Complete	NC_004354.4	4619993	4625965	+	953.8	647	https://www.orthodb.org/v10?query=2948at7147	Zinc finger C2H2 superfamily
2953at7147	Complete	NT_033777.3	28609397	28616025	-	2527.8	1362	https://www.orthodb.org/v10?query=2953at7147	Ankyrin repeat-containing domain
2987at7147	Complete	NT_033777.3	24800036	24805171	-	2102.2	1269	https://www.orthodb.org/v10?query=2987at7147	High mobility group box domain
3013at7147	Complete	NT_033779.5	8244420	8252699	-	334.8	1432	https://www.orthodb.org/v10?query=3013at7147	Sperm-tail PG-rich repeat
3067at7147	Complete	NT_033779.5	16232085	16239622	+	1600.5	927	https://www.orthodb.org/v10?query=3067at7147	voltage-dependent calcium channel subunit alpha-2/delta-3
3077at7147	Complete	NT_033779.5	6932687	6940917	-	1409.3	1247	https://www.orthodb.org/v10?query=3077at7147	Protein SOGA
3078at7147	Complete	NT_033778.4	21314432	21319395	+	2277.3	1297	https://www.orthodb.org/v10?query=3078at7147	Glycogen debranching enzyme
3095at7147	Complete	NT_033777.3	7815218	7852787	+	2139.2	1225	https://www.orthodb.org/v10?query=3095at7147	Diacylglycerol kinase
3096at7147	Complete	NT_033777.3	14634752	14641608	+	2519.0	1563	https://www.orthodb.org/v10?query=3096at7147	cadherin-23
3107at7147	Complete	NT_033778.4	22889007	22894142	+	1868.7	1107	https://www.orthodb.org/v10?query=3107at7147	Mediator of RNA polymerase II transcription subunit 23
3153at7147	Complete	NT_033777.3	19879923	19885727	+	1728.4	983	https://www.orthodb.org/v10?query=3153at7147	Mitogen activated protein kinase kinase kinase 5, mapkkk5, mekk5
3183at7147	Complete	NC_004354.4	14228309	14233540	-	1552.4	903	https://www.orthodb.org/v10?query=3183at7147	type I inositol 3,4-bisphosphate 4-phosphatase
3196at7147	Complete	NT_033777.3	23966590	23981901	+	1294.5	753	https://www.orthodb.org/v10?query=3196at7147	Diacylglycerol kinase
3208at7147	Complete	NT_033778.4	6026672	6035505	-	1411.5	849	https://www.orthodb.org/v10?query=3208at7147	WD40-repeat-containing domain
3236at7147	Complete	NT_033778.4	12579122	12583831	-	1228.0	686	https://www.orthodb.org/v10?query=3236at7147	Paired amphipathic helix
3250at7147	Complete	NT_033779.5	18526866	18531655	+	2175.9	1134	https://www.orthodb.org/v10?query=3250at7147	Haem peroxidase
3264at7147	Complete	NT_033777.3	29985597	29990534	+	1520.9	1010	https://www.orthodb.org/v10?query=3264at7147	Leucine-rich repeat
3275at7147	Complete	NT_033778.4	9508117	9536939	+	1547.8	1169	https://www.orthodb.org/v10?query=3275at7147	plectin isoform X1
3283at7147	Complete	NT_037436.4	20129423	20138883	+	1908.7	1309	https://www.orthodb.org/v10?query=3283at7147	tuberin
3371at7147	Complete	NC_004354.4	6040701	6048506	+	2636.8	1504	https://www.orthodb.org/v10?query=3371at7147	Sec7 domain
3394at7147	Complete	NT_033777.3	22674168	22681575	+	1549.4	912	https://www.orthodb.org/v10?query=3394at7147	Ankyrin repeat-containing domain
3420at7147	Complete	NT_033778.4	13454438	13459513	-	2550.2	1376	https://www.orthodb.org/v10?query=3420at7147	Low-density lipoprotein (LDL) receptor class A, conserved site
3422at7147	Complete	NC_004354.4	13768079	13776041	+	1739.0	932	https://www.orthodb.org/v10?query=3422at7147	protein retinal degeneration B isoform X1
3429at7147	Complete	NT_033779.5	6325267	6330834	+	1558.9	849	https://www.orthodb.org/v10?query=3429at7147	Ras guanine-nucleotide exchange factor catalytic domain superfamily
3440at7147	Complete	NT_033777.3	24120302	24127699	+	2488.7	1637	https://www.orthodb.org/v10?query=3440at7147	rootletin
3442at7147	Complete	NT_033779.5	3510591	3514376	-	1898.7	999	https://www.orthodb.org/v10?query=3442at7147	Aminoacyl-tRNA synthetase, class Ia
3445at7147	Complete	NT_037436.4	18873009	18877775	+	2169.0	1259	https://www.orthodb.org/v10?query=3445at7147	UDP-glucose:glycoprotein glucosyltransferase
3469at7147	Complete	NT_033778.4	18415316	18419421	+	1746.1	1033	https://www.orthodb.org/v10?query=3469at7147	K Homology domain, type 1
3500at7147	Complete	NC_004354.4	3955877	3964753	-	556.6	2717	https://www.orthodb.org/v10?query=3500at7147	protein lava lamp
3505at7147	Complete	NT_037436.4	12148793	12156237	+	2066.6	1040	https://www.orthodb.org/v10?query=3505at7147	neurexin-4 isoform X1
3510at7147	Complete	NT_033777.3	14665839	14672517	-	1164.0	844	https://www.orthodb.org/v10?query=3510at7147	EGF-like, conserved site
3521at7147	Complete	NT_037436.4	8407373	8411492	-	2035.4	1042	https://www.orthodb.org/v10?query=3521at7147	WD40-repeat-containing domain
